year fp_year fp_doy Np Tp Alpha_ratio Vp V_gsm_x V_gsm_y V_gsm_z B_gsm_x B_gsm_y B_gsm_z 
BEGIN DATA
2005 2005.05235128  20.108218      0.234  9.5327e+04     0.1899    659.96   -653.20    -91.71     21.68   -2.121    1.042    5.562
2005 2005.05235331  20.108959      0.195  1.2240e+05     0.2031    680.84   -669.46   -121.31     24.86   -2.014    1.616    5.516
2005 2005.05235534  20.109699  -9999.900  9.7826e+04 -9999.9004    652.22   -636.51   -138.28     33.76   -2.748    1.507    5.224
2005 2005.05235737  20.110440      0.247  1.1743e+05     0.2565    656.39   -638.67   -135.94     68.48   -3.072    2.496    4.048
2005 2005.05235940  20.111181      0.464  2.1229e+05     0.2609    659.50   -630.29   -162.44    108.23   -3.191    3.505    3.102
2005 2005.05236143  20.111921      0.527  1.7197e+05 -9999.9004    668.43  -9999.90  -9999.90  -9999.90   -3.507    3.343    1.621
2005 2005.05236346  20.112662      0.280  8.2228e+04     0.0729    693.11   -691.59     40.74     25.50   -0.434   -3.152    4.968
2005 2005.05236549  20.113403      0.424  5.0909e+04     0.0696    676.39   -676.31     11.18      3.17   -0.620   -2.591    5.258
2005 2005.05236752  20.114144      0.320  6.5100e+04     0.0962    668.10   -668.09      1.46      6.23   -1.394   -1.781    5.214
2005 2005.05236955  20.114884      0.249  6.6480e+04     0.1673    659.09   -657.22    -48.28     -5.12   -2.171   -0.115    5.158
2005 2005.05237158  20.115625      0.278  8.5534e+04     0.1660    619.95   -617.43    -51.55     22.88   -2.522   -0.099    4.857
2005 2005.05237361  20.116366      0.299  1.0141e+05     0.0811    637.85   -636.23    -41.86     18.78   -2.598   -0.080    4.799
2005 2005.05237564  20.117107      0.419  1.1102e+05     0.0793    612.20   -610.77    -31.73     29.55   -2.855   -0.205    4.658
2005 2005.05237766  20.117847      0.239  5.1425e+04     0.1503    620.31   -618.04    -45.24     29.84   -2.497   -0.287    4.764
2005 2005.05237969  20.118588      0.211  1.2645e+05     0.1388    618.09   -616.33    -45.87      7.22   -1.586   -0.801    4.758
2005 2005.05238172  20.119329      0.185  2.7071e+05     0.1474    632.75   -632.10    -18.88     24.05   -1.407   -0.880    4.695
2005 2005.05238375  20.120070      0.196  3.3296e+05     0.0889    629.58   -628.71    -17.14     30.96   -1.625   -0.858    4.743
2005 2005.05238578  20.120810      0.192  3.1100e+05     0.0923    646.51   -645.95    -21.35     18.47   -0.833   -0.512    4.978
2005 2005.05238781  20.121551  -9999.900 -9.9999e+03 -9999.9004  -9999.90  -9999.90  -9999.90  -9999.90   -1.560   -0.538    4.847
2005 2005.05238984  20.122292      0.371  9.4050e+04     0.1079    614.81   -614.23      4.06     29.76   -2.610   -0.907    4.516
2005 2005.05239187  20.123033      0.224  1.3057e+05     0.1166    616.13   -615.38    -25.96     17.89   -2.566   -0.860    4.554
2005 2005.05239390  20.123773      0.321  1.0748e+05     0.1061    629.41   -629.22      7.21     17.19   -2.321   -0.895    4.778
2005 2005.05239593  20.124514      0.298  1.0432e+05     0.0941    674.95   -674.86     -9.58      8.33   -1.694   -0.925    5.244
2005 2005.05239796  20.125255      0.324  1.2604e+05     0.1798    669.21   -668.29    -33.98      8.20   -1.616   -0.262    5.388
2005 2005.05239999  20.125996      0.221  7.5830e+04     0.1140    691.22   -690.05    -36.30    -12.18   -1.947   -0.505    5.405
2005 2005.05240202  20.126736      0.272  6.0475e+04     0.1426    644.31   -644.28     -5.11      2.52   -3.029   -1.250    4.671
2005 2005.05240405  20.127477      0.279  7.0198e+04     0.1330    630.40   -629.72     26.37     17.34   -2.677   -1.965    4.836
2005 2005.05240608  20.128218      0.381  8.2126e+04     0.1419    661.73   -659.95     49.31      1.81   -2.008   -2.400    4.866
2005 2005.05240811  20.128959  -9999.900 -9.9999e+03 -9999.9004    659.80   -655.47     73.78     22.35   -1.974   -2.851    4.331
2005 2005.05241013  20.129699      0.232  2.0522e+05     0.1781    665.37   -662.30     55.65     36.23   -1.758   -3.562    3.734
2005 2005.05241216  20.130440  -9999.900 -9.9999e+03 -9999.9004  -9999.90  -9999.90  -9999.90  -9999.90   -2.708    1.658    3.045
2005 2005.05241419  20.131181      0.406  5.9505e+05     0.0060    764.38   -743.19    -45.30    175.99   -1.770    1.935    2.772
2005 2005.05241622  20.131921      0.535  5.2852e+05     0.0040    774.74   -754.85     38.56    173.69   -0.714   -0.188    2.654
2005 2005.05241825  20.132662      0.670  6.1896e+05     0.0022    791.43   -773.99     47.50    161.87    1.483   -1.697    1.738
2005 2005.05242028  20.133403      0.531  5.7889e+05     0.0030    788.10   -769.51     54.09    165.01    1.799   -2.815    0.659
2005 2005.05242231  20.134144      0.633  5.6784e+05     0.0044    803.78   -780.40     54.81    188.14    0.690   -2.180    0.337
2005 2005.05242434  20.134884      0.595  6.0448e+05     0.0023    788.84   -767.24     37.90    182.93    0.756   -0.725    0.094
2005 2005.05242637  20.135625      0.580  5.8383e+05     0.0034    783.36   -757.96     10.01    201.04    1.434   -1.537   -0.019
2005 2005.05242840  20.136366      0.470  7.0864e+05 -9999.9004    795.53   -783.63    -23.15    138.36    1.895   -0.919    1.463
2005 2005.05243043  20.137107      0.482  6.6297e+05 -9999.9004    800.20   -785.27      3.08    157.26    2.361   -1.562    1.374
2005 2005.05243246  20.137847      0.445  7.4993e+05     0.0071    803.54   -791.94     -3.07    139.38    2.184   -1.166    1.207
2005 2005.05243449  20.138588      0.537  8.2999e+05     0.0104    803.54   -793.11     -6.99    132.24    2.481   -0.896    1.427
2005 2005.05243652  20.139329      0.433  5.4453e+05     0.0057    813.03   -802.93    -17.00    129.90    1.231    0.694    2.677
